id;doc_type;langs;year;projects;no_of_projects
;['Report'];und;2016;[];0
;['Article', 'Report', 'Article'];eng;2016;[];0
;['Other literature type', 'Article'];eng;2018;[];0
;['Doctoral thesis', 'Doctoral thesis', 'Doctoral thesis'];fra/fre;2017;[];0
;['Article'];eng;2015;[];0
;['Article', 'Article'];eng;2018;[];0
;['Article', 'Article'];eng;2018;[];0
;['Article', 'Article'];eng;2016;[];0
;['Article', 'Article'];eng;2014;[];0
;['Article', 'Article'];eng;2015;[];0
;['Article', 'Preprint'];eng;2018;[];0
;['Bachelor thesis'];spa;2017;[];0
;['Article', 'Article'];eng;2016;[];0
;['Doctoral thesis', 'Doctoral thesis', 'Doctoral thesis'];fra/fre;2014;[];0
;['Article', 'Preprint'];eng;2016;[];0
;['Other literature type'];spa;2016;[];0
;['Article', 'Article'];eng;2017;[];0
;['Article', 'Article'];eng;2017;[];0
;['Article', 'Article'];por;2017;['147232'];1
;['Article', 'Other literature type'];eng;2014;[];0
;['Article'];eng;2015;[];0
;['Article', 'Article'];eng;2017;[];0
;['Article', 'Article'];und;2016;[];0
;['Article', 'Article'];eng;2017;[];0
;['Master thesis', 'Master thesis'];spa;2017;[];0
;['Conference object', 'Doctoral thesis'];jpn;2017;[];0
;['Article', 'Article'];deu/ger;2017;[];0
;['Article', 'Article', 'Article', 'Article', 'Article', 'Article', 'Article'];eng;2018;['288435'];1
;['Article', 'Article'];eng;2014;['316086'];1
;['Other literature type', 'Article'];eng;2018;[];0
;['Article', 'Article', 'Article'];eng;2018;['G0900747', '075491', '090532'];3
;['Article', 'Article', 'Other literature type'];eng;2015;['0946746'];1
;['Article', 'Article'];eng;2015;[];0
;['Article', 'Article'];eng;2017;['5R01DC011091-04'];1
;['Article', 'Article'];eng;2018;[];0
;['Article', 'Article'];eng;2018;[];0
;['Article', 'Article', 'Article'];eng;2015;[];0
;['Conference object', 'Article'];eng;2017;[];0
;['Doctoral thesis', 'Doctoral thesis'];eng;2014;[];0
;['Article'];eng;2014;[];0
;['Article'];eng;2014;[];0
;['Review', 'Article'];eng;2015;[];0
;['Article', 'Article'];ukr;2015;[];0
;['Article', 'Article'];eng;2016;[];0
;['Article'];und;2014;[];0
;['Article', 'Other literature type', 'Article'];und;2015;[];0
;['Article', 'Article'];eng;2016;[];0
;['Report', 'Doctoral thesis'];und;2018;[];0
;['Article', 'Article'];eng;2015;[];0
;['Article', 'Article'];eng;2015;['323901', '267333', '2300154869'];3
;['Article', 'Article'];eng;2018;[];0
;['Article', 'Article'];eng;2015;[];0
;['Article', 'Article'];eng;2018;[];0
;['Article', 'Article'];eng;2014;[];0
;['Part of book or chapter of book', 'Preprint'];und;2014;['1008908'];1
;['Article', 'Article'];eng;2016;[];0
;['Article'];eng;2015;[];0
;['Article'];eng;2016;[];0
;['Article', 'Article'];esl/spa;2017;[];0
;['Article', 'Article', 'Article'];eng;2018;[];0
;['Article', 'Article', 'Article', 'Article'];eng;2018;[];0
;['Article'];eng;2017;[];0
;['Article'];eng;2014;[];0
;['Article', 'Article'];eng;2015;[];0
;['Article', 'Article'];esl/spa;2017;[];0
;['Bachelor thesis', 'Bachelor thesis'];cat;2014;[];0
;['Article', 'Article', 'Article'];eng;2016;[];0
;['Article', 'Preprint', 'Article', 'Article'];eng;2018;['322304', '261063', '108726', 'MC_UU_12024/4'];4
;['Article', 'Article'];eng;2016;[];0
;['Article'];und;2015;[];0
;['Other literature type', 'Article'];eng;2018;[];0
;['Doctoral thesis', 'Master thesis'];esl/spa;2017;[];0
;['Article', 'Preprint', 'Article'];eng;2017;['678309'];1
;['Article', 'Article'];cat;2014;[];0
;['Article', 'Article'];por;2015;[];0
;['Data Paper', 'Article', 'Article', 'Article'];eng;2017;['G1002082'];1
;['Master thesis', 'Master thesis'];eng;2014;[];0
;['Article', 'Other literature type'];eng;2015;['647685'];1
